Altura,Latitud,Longitud
999,-89.248527034,0.459521302999
998,-89.249331056,0.457919211992
997,-89.2501350659,0.456317726973
996,-89.2509390639,0.454716847936
995,-89.25174305,0.453116574875
994,-89.2525470241,0.451516907784
993,-89.2533509864,0.449917846657
992,-89.2541549368,0.448319391488
991,-89.2549588753,0.446721542271
990,-89.255762802,0.445124299
989,-89.2565667169,0.443527661669
988,-89.25737062,0.441931630272
987,-89.2581745114,0.440336204803
986,-89.258978391,0.438741385256
985,-89.259782259,0.437147171625
984,-89.2605861152,0.435553563904
983,-89.2613899598,0.433960562087
982,-89.2621937928,0.432368166168
981,-89.2629976141,0.430776376141
980,-89.2638014239,0.429185192
979,-89.264605222,0.427594613739
978,-89.2654090087,0.426004641352
977,-89.2662127838,0.424415274833
976,-89.2670165475,0.422826514176
975,-89.2678202996,0.421238359375
974,-89.2686240403,0.419650810424
973,-89.2694277696,0.418063867317
972,-89.2702314875,0.416477530049
971,-89.271035194,0.414891798612
970,-89.2718388892,0.413306673001
969,-89.272642573,0.41172215321
968,-89.2734462456,0.410138239233
967,-89.2742499068,0.408554931064
966,-89.2750535568,0.406972228697
965,-89.2758571955,0.405390132126
964,-89.276660823,0.403808641345
963,-89.2774644394,0.402227756348
962,-89.2782680445,0.400647477129
961,-89.2790716386,0.399067803682
960,-89.2798752215,0.397488736001
959,-89.2806787933,0.39591027408
958,-89.281482354,0.394332417913
957,-89.2822859037,0.392755167494
956,-89.2830894423,0.391178522817
955,-89.2838929699,0.389602483876
954,-89.2846964866,0.388027050665
953,-89.2854999923,0.386452223178
952,-89.286303487,0.384878001409
951,-89.2871069708,0.383304385352
950,-89.2879104438,0.381731375001
949,-89.2887139059,0.38015897035
948,-89.2895173571,0.378587171393
947,-89.2903207975,0.377015978124
946,-89.2911242271,0.375445390537
945,-89.2919276459,0.373875408626
944,-89.2927310539,0.372306032385
943,-89.2935344513,0.370737261808
942,-89.2943378379,0.369169096889
941,-89.2951412138,0.367601537622
940,-89.2959445791,0.366034584001
939,-89.2967479337,0.36446823602
938,-89.2975512777,0.362902493673
937,-89.2983546111,0.361337356954
936,-89.2991579339,0.359772825857
935,-89.2999612462,0.358208900376
934,-89.3007645479,0.356645580505
933,-89.3015678392,0.355082866238
932,-89.3023711199,0.353520757569
931,-89.3031743902,0.351959254492
930,-89.30397765,0.350398357001
929,-89.3047808995,0.34883806509
928,-89.3055841385,0.347278378753
927,-89.3063873671,0.345719297984
926,-89.3071905854,0.344160822777
925,-89.3079937934,0.342602953126
924,-89.3087969911,0.341045689025
923,-89.3096001784,0.339489030468
922,-89.3104033556,0.337932977449
921,-89.3112065224,0.336377529962
920,-89.3120096791,0.334822688001
919,-89.3128128255,0.33326845156
918,-89.3136159618,0.331714820633
917,-89.3144190879,0.330161795214
916,-89.3152222039,0.328609375297
915,-89.3160253098,0.327057560876
914,-89.3168284056,0.325506351945
913,-89.3176314914,0.323955748498
912,-89.3184345671,0.322405750529
911,-89.3192376327,0.320856358032
910,-89.3200406884,0.319307571001
909,-89.3208437341,0.31775938943
908,-89.3216467699,0.316211813313
907,-89.3224497957,0.314664842644
906,-89.3232528116,0.313118477416
905,-89.3240558176,0.311572717625
904,-89.3248588137,0.310027563264
903,-89.3256618,0.308483014327
902,-89.3264647765,0.306939070808
901,-89.3272677431,0.305395732701
900,-89.3280707,0.303853
899,-89.3288736471,0.302310872699
898,-89.3296765845,0.300769350792
897,-89.3304795122,0.299228434273
896,-89.3312824301,0.297688123136
895,-89.3320853384,0.296148417374
894,-89.3328882371,0.294609316983
893,-89.3336911261,0.293070821956
892,-89.3344940055,0.291532932287
891,-89.3352968753,0.28999564797
890,-89.3360997356,0.288458968999
889,-89.3369025863,0.286922895368
888,-89.3377054274,0.285387427071
887,-89.3385082591,0.283852564101
886,-89.3393110813,0.282318306454
885,-89.340113894,0.280784654123
884,-89.3409166973,0.279251607102
883,-89.3417194912,0.277719165385
882,-89.3425222757,0.276187328966
881,-89.3433250508,0.274656097839
880,-89.3441278166,0.273125471997
879,-89.344930573,0.271595451436
878,-89.3457333201,0.270066036149
877,-89.3465360579,0.26853722613
876,-89.3473387864,0.267009021373
875,-89.3481415057,0.265481421871
874,-89.3489442158,0.26395442762
873,-89.3497469167,0.262428038613
872,-89.3505496084,0.260902254844
871,-89.3513522909,0.259377076307
870,-89.3521549642,0.257852502996
869,-89.3529576285,0.256328534904
868,-89.3537602836,0.254805172027
867,-89.3545629297,0.253282414358
